Feature,Importance
ST_Amp116_aVL,0.0016058548087238382
P_PeakTime_II,0.0016045117102340416
S_PeakTime_V6,0.0015999830394028292
T_Dur_V4,0.0015996002282309299
T_Dur_V5,0.0015967770681126533
T_Dur_aVL,0.0015957608677311683
ST_AmpMax_V6,0.0015929265879341243
S_PeakTime_V4,0.0015917711741275202
T_Amp_aVL,0.0015914978783072556
S_Amp_III,0.001591363438634844
ST_AmpMax_II,0.0015909191195964537
T_Area_V4,0.0015904762475333035
R_PeakTime_V3,0.0015870197873436294
QRS_Area_aVL,0.001586401871710392
T_Dur_aVR,0.0015863114299540708
P+_Dur_aVL,0.001583273447083183
S_PeakTime_I,0.0015819345718551569
P_OnsAmp_V5,0.0015811491832857304
T-_Dur_aVL,0.0015784607316225263
ST_AmpMin_aVR,0.0015708269771278276
ST_AmpMax_aVF,0.001562589398433328
Max_R_Amp_I,0.001561871821230066
Q_PeakTime_aVL,0.0015605959633830935
Q_Dur_V6,0.0015601062514795528
P_Dur_Global,0.0015599451620246173
Pp_Dur_V1,0.0015546422221370325
S_Dur_I,0.0015544900073772455
Max_S_Amp_V4,0.0015538734101721923
P_OnsAmp_II,0.0015519286606508165
Q_Area_V4,0.00154954573002415
P-_Dur_aVL,0.0015494386069634456
T_Dur_II,0.0015488488228954137
S_Area_aVL,0.0015420158491351531
ST_AmpMax_V3,0.0015416989397450934
Max_S_Amp_II,0.001538037975201328
S_Amp_I,0.0015376761330733613
Q_Dur_V4,0.001531545166024875
T_Area_aVL,0.0015272465725656268
Pp_PeakTime_V1,0.0015230346924893685
S_PeakTime_aVF,0.001522932185345503
T_AreaFull_V2,0.0015214512541976961
P_Dur_III,0.0015164197511540359
T_Dur_V1,0.0015162064616669017
T-_Amp_V5,0.0015119838728608912
T_Dur_V3,0.0015044524837522057
ST_AmpMin_aVF,0.0015034194372473995
ST_AmpMax_V2,0.0015018340303775682
T_DurFull_V4,0.001497341464512875
S_Area_II,0.0014946290502231962
P_OnsAmp_aVL,0.001492913010070432
T_DurFull_II,0.001483407910793669
P_Dur_aVL,0.0014747001706243697
P_PeakTime_aVF,0.0014686337916350182
P_OnsAmp_aVR,0.0014656902301917938
Q_Area_V5,0.0014628540972145116
T+_Amp_aVF,0.0014574244298766982
S_Area_aVF,0.001448368995995024
T+_Amp_V1,0.001445404215917086
S_Dur_II,0.001440929926826295
T_DurFull_III,0.001437676423801488
S_PeakTime_aVL,0.0014320437715515115
S_Amp_aVF,0.0014319286300155524
R_Dur_V1,0.0014304005505390844
T+_Dur_V2,0.0014290179052465137
T+_Amp_aVL,0.0014282830128095002
S_Amp_aVR,0.001426492862681359
P_PeakTime_aVR,0.001416400242922433
P_OnsAmp_V3,0.001414314626668722
T+_Dur_aVL,0.001411323864269465
Rp_PeakTime_V1,0.001396952553847568
T_DurFull_V5,0.0013915917689870585
Q_PeakTime_II,0.0013896900020003067
QRS_Count_Global,0.00138928767508764
P+_Dur_I,0.0013865349282534255
Q_PeakTime_V2,0.0013802462734451707
S_Area_aVR,0.0013685874069717286
T+_Amp_II,0.0013677981695440456
P_OnsAmp_V4,0.0013616270271240402
QRS_Balance_III,0.0013604502610949072
S_Amp_aVL,0.0013530365821818617
P_Dur_V2,0.0013501381662366439
R_Dur_aVR,0.0013490561812093
T_DurFull_aVL,0.0013285271771117982
